specObjID,spiral,elliptical,petroMag_u,petroMag_r,petroMag_g,z
367171502581245952,1,0,20.36233,17.3143,18.37081,0.0985233
369315548695128064,1,0,20.77319,17.62318,18.72099,0.1285464
369388116462561280,1,0,18.65228,16.99481,17.79632,0.1437275
369461508863715328,1,0,20.81377,17.3072,18.24015,0.1056984
370433473351018496,1,0,18.84392,17.00692,17.58376,0.108546
370452989682411520,1,0,19.0658,16.51913,17.41158,0.09201236
370461236019619840,1,0,17.2878,15.60551,16.18856,0.02851916
370474430159153152,1,0,20.89447,17.32652,18.37599,0.109433
370492297223104512,1,0,19.47091,17.27206,18.07523,0.1204117
370519235257985024,1,0,18.80337,16.19767,17.06275,0.05416984
371596761921251328,1,0,19.586,17.4748,18.20219,0.1250077
371609956060784640,1,0,19.55735,17.08458,17.96346,0.0777989
371613529473574912,1,0,20.13808,17.64035,18.65785,0.139985
371637443851479040,1,0,19.73606,17.46821,18.35577,0.137927
371644040921245696,1,0,19.30983,17.15454,17.90849,0.1030408
371645140432873472,1,0,19.27169,17.11054,17.91925,0.132901
371712760397981696,1,0,19.27872,17.61378,18.29243,0.1715495
372766367381743616,1,0,19.88365,17.06997,18.08196,0.1069752
373908210190411776,1,0,19.81585,17.4911,18.32915,0.08111641
373914807260178432,0,1,19.06746,16.19289,17.14975,0.09918233
374942299970365440,0,1,21.03399,17.32491,18.88665,0.2697893
374947247772690432,1,0,20.60531,16.81067,17.68312,0.07997174
374949446795945984,1,0,19.35518,17.59674,18.32899,0.1107915
374981607511058432,1,0,19.11186,17.04124,17.80549,0.1115549
375004422377334784,0,1,18.57244,15.64703,16.70463,0.1111443
375033284557563904,1,0,15.87304,13.94155,14.44272,0.02522332
375045104307562496,1,0,19.94982,17.56035,18.44853,0.1105199
375061871859886080,0,1,19.6349,16.83585,18.09316,0.1764363
375065170394769408,0,1,20.99274,17.7589,19.44792,0.2948255
375081663069186048,1,0,18.24074,16.55854,17.00265,0.07207848
375095406964533248,1,0,18.5966,17.04604,17.57787,0.0653429
376086061572450304,1,0,20.16387,17.48283,18.39018,0.105075
376178145671276544,1,0,19.08319,16.79699,17.53429,0.09262541
376193813711972352,0,1,20.50531,17.64832,18.73273,0.1494761
377296623992072192,0,1,19.85255,17.33773,18.25542,0.1108223
377308718619977728,1,0,19.97802,17.4719,18.4452,0.1109504
377345552259508224,1,0,19.01642,17.00517,17.65709,0.07114742
378345558068193280,1,0,19.22781,17.24198,17.95395,0.1002433
379510215726360576,1,0,19.13946,17.12843,17.85126,0.1254614
380582509357852672,1,0,19.95295,17.51503,18.38112,0.08121207
380585258136922112,0,1,18.1406,15.51558,16.41404,0.0796907
380661124439238656,1,0,19.63292,17.44291,18.43734,0.1214188
381799393818339328,0,1,19.24719,16.29315,17.22748,0.08275554
383976151929874432,1,0,18.35595,16.04026,16.83305,0.0699322
384049269453121536,1,0,19.32476,16.69337,17.51128,0.09719092
385076488208148480,0,1,21.76163,17.93575,19.45533,0.2745234
385102051853494272,1,0,19.44792,17.71012,18.38171,0.1093023
385108923801167872,1,0,19.64965,17.28019,18.23874,0.1163857
385153179144185856,1,0,19.64432,17.39754,18.14469,0.08838623
385219699597666304,1,0,17.80588,15.79576,16.47296,0.03213647
392955313789102080,1,0,21.21875,17.61152,18.71972,0.1478488
392997370108864512,1,0,18.81543,16.29678,17.0957,0.03406038
393063340806531072,0,1,19.21753,16.47736,17.51753,0.1417221
393086155672807424,1,0,19.14879,16.35415,17.31962,0.1009236
393113368585594880,1,0,19.6578,17.58621,18.16047,0.08456188
394151582305904640,1,0,17.11107,14.91109,15.55306,0.02713116
